PRÉDICTIONS DE L'ANCIEN TESTAMENT,NATURE DE LA PROPHÉTIE,ACCOMPLISSEMENT DANS LE N.T.
1.Ésaïe 7.14,NAÎTRA D'UNE VIERGE,"Matthieu 1.22, 23"
2. 2 S 7.11-12; Ps. 132.11; Ésaïe 9.6; 16.5; Jér. 23.5,RECEVRA LE TRÔNE DE DAVID,Luc 1.31-32
"3. Daniel 2.44; 7.14, 27; Michée 4.7",SON TRÔNE SERA ÉTERNEL,Luc 1.33
4. Ésaïe 7.14,SERA APPELÉ EMMANUEL,Matthieu 1.23
5. Ésaïe 40.3-5; Michée 3.1,AURA UN PRÉCURSEUR,Luc 1.76-78; 3.3-6; Matthieu 3.1-3
6. Michée 5.1,NAÎTRA À BETHLÉHEM,Matthieu 2.5-6
"7. Psaume 72.10; Ésaïe 60.3, 6, 9",RECEVRA L'HOMMAGE ET LES PRÉSENTS DES MAGES,Matthieu 2.11
8. Nombres 24.8; Osée 11.1,IRA UN CERTAIN TEMPS EN ÉGYPTE,Matthieu 2.15
9. Jérémie 31.15,MASSACRE DES ENFANTS DE BETHLÉHEM,Matthieu 2.17-18
10. Ésaïe 11.2,SERA APPELÉ NAZARÉEN,Matthieu 2.23
11. Psaume 69.10; 119.39,MANIFESTERA DU ZÈLE POUR SON PÈRE,Jean 2.16-17
12. Ésaïe 11.2; 61.1-2; Psaume 45.8,SERA REMPLI DE L'ESPRIT DE DIEU,Luc 4.18-19
13. Ésaïe 53.4,GUÉRIRA BEAUCOUP DE MALADES,Matthieu 8.16-17
14. Ésaïe 9.1-2; 42. 1-3,TÉMOIGNERA DE LA COMPASSION AUX PAÏENS,Matthieu 12.17-21; 4.13-16
15. Ésaïe 6.9-10,PARLERA EN PARABOLES,Matthieu 13.10-15
16. Ésaïe 53.3; Psaume 69.9,SERA REJETÉ PAR LES SIENS,Jean 1.11; 7.5
17. Zacharie 9.9,FERA UNE ENTRÉE TRIOMPHANTE DANS JÉRUSALEM,Matthieu 21.4-5
18. Psaume 8.3,RECEVRA LA LOUANGE DES PETITS ENFANTS,Matthieu 21.16
19. Psaume 118.22-23,SERA LA PIERRE ANGULAIRE REJETÉE,Matthieu 21.42
20. Ésaïe 53.1,LES GENS NE CROIRONT PAS À SES MIRACLES,Jean 12.37-38
21. Psaume 41.10; 55.13-15,SERA TRAHI PAR SON AMI POUR TRENTE PIÈCES D'ARGENT,"Matthieu 26.14-16, 21-25"
22. Ésaïe 53.3,SERA L'HOME DE DOULEUR,Matthieu 26.37-38
23. Zacharie 13.7,SERA ABANDONNÉ PAR SES DISCIPLES,"Matthieu 26.31, 56"
24. Ésaïe 50.6,SERA BATTU ET COUVERT DE CRACHATS,Matthieu 26.67; 27.26
25. Zacharie 11.12-13; Jérémie 18.1-4; 19.1-4,L'ARGENT DE SA TRAHISON SERVIRA À L'ACHAT DU CHAMP DU POTIER,Matthieu 27.9-10
26.Ésaïe 53.12,SERA CRUCIFIÉ ENTRE DEUX BRIGANDS,matthieu 27.38; Marc 15.17-18
27. Psaume 69.22,ON LUI PROPOSERA DU VINAIGRE À BOIRE,"Matthieu 27.34, 48; Jean 19.28-30"
28. Psaume 22.17; Zacharie 12.10,AURA LES MAINS ET LES PIEDS PERCÉS,Marc 15.25; Jean 19.34-37; 20.25-27
29. Psaume 22.19,SES VÊTEMENTS SERONT PARTAGÉS ET TIRÉS AU SORT,Luc 23.34; Jean 19.23-24
30. Psaume 22.8-9,SERA ENTOURÉ D'ENNEMIS MOQUEURS,Matthieu 27.39-44; Marc 15.29-32
31. Ps. 22.16,AURA SOIF,Jean 19.28
32. Psaume 31.6,REMETTRA SON ESPRIT AU PÈRE,Luc 23.46
33. Psaume 34.21; Exode 12.46; Nombres 9.12,SES OS NE SERONT PAS BRISÉS,Jean 19.33-36
34. Zacharie 12.10,LA FOULE LE REGARDERA MOURIR,Jean 19.37; Matthieu 27.36
35. Ésaïe 53.9,SERA ENTERRÉ AVEC LE RICHE,Matthieu 27.57-60
36. Psaume 16.10,RESSUSCITERA D'ENTRE LES MORTS,Matthieu 28.2-7
37. Psaume 24.7-10; Ésaïe 52.13,REMONTERA AU CIEL,Marc 16.19; Luc 24.51
